,NDB_No,Shrt_Desc,popularity,Protein_(g),Calcium_(mg),Iron_(mg),Magnesium_(mg),Phosphorus_(mg),Potassium_(mg),Zinc_(mg),Copper_mg),Manganese_(mg),Selenium_(mcg),Vit_C_(mg),Thiamin_(mg),Riboflavin_(mg),Niacin_(mg),Panto_Acid_mg),Vit_B6_(mg),Folate_Tot_(mcg),Choline_Tot_ (mg),Vit_B12_(mcg),Vit_A_RAE,Vit_E_(mg),Vit_D_mcg,Vit_K_(mcg),macro,groupname,micro
0,18002,"BAGELS,PLN,ENR,W/ CA PROP (INCLUDES ONION,POPPY,SESAME),TSTD",0.0,2.6736,3.6,1.08,5.76,22.08,27.84,0.31200000000000006,0.036,0.13799999999999998,6.047999999999999,0.0,0.14448,0.06480000000000001,1.05,0.05496,0.016800000000000002,31.44,3.7920000000000003,0.0,0.0,0.0288,0.0,0.24,18.0,BakedGoods,BakedGoods8
1,18003,"BAGELS,EGG",0.0,3.0051,3.6855,1.12833,7.0875,23.814,19.278000000000002,0.21829500000000002,0.025515,0.116235,8.6751,0.17010000000000003,0.15195600000000004,0.0666225,0.9760905000000001,0.19022850000000002,0.0246645,24.948,0.0,0.045360000000000004,9.355500000000001,0.0,0.0,0.0,18.0,BakedGoods,BakedGoods8
2,18005,"BAGELS,CINNAMON-RAISIN",0.0,2.548,4.94,0.988,7.28,26.0,38.48,0.29379999999999995,0.04238,0.22776,8.06,0.182,0.09984,0.07202000000000001,0.8008,0.13234,0.016120000000000002,28.86,3.796,0.0,5.46,0.0806,0.0,0.182,18.0,BakedGoods,BakedGoods8
3,18006,"BAGELS,CINNAMON-RAISIN,TSTD",0.0,2.5439999999999996,4.8,0.9815999999999999,5.52,19.92,39.12,0.19440000000000002,0.0384,0.07872,7.991999999999999,0.144,0.07919999999999999,0.06432,0.71544,0.011280000000000002,0.0144,24.48,3.9359999999999995,0.0,5.52,0.0816,0.0,0.19200000000000003,18.0,BakedGoods,BakedGoods8
4,18007,"BAGELS,OAT BRAN",0.0,2.782,3.12,0.8008,8.06,28.6,29.9,0.234,0.039259999999999996,0.22438,8.892000000000001,0.052000000000000005,0.08606,0.08788,0.7696,0.1157,0.011179999999999999,25.48,3.978,0.0,0.26,0.0858,0.0,0.10400000000000001,18.0,BakedGoods,BakedGoods8
5,18009,"BISCUITS,PLN OR BTTRMLK,FRZ,BKD",0.0,1.7577,13.8915,0.9355499999999999,4.819500000000001,121.905,63.504000000000005,0.13608,0.0235305,0.11113200000000001,5.3298000000000005,0.0,0.12105450000000001,0.082782,0.950292,0.08505000000000001,0.013324500000000001,19.845,5.67,0.03969000000000001,0.0,0.37422000000000005,0.0,1.16235,18.0,BakedGoods,BakedGoods10
6,18011,"BISCUITS,PLN OR BTTRMLK,DRY MIX,PREP",0.0,2.06955,52.4475,0.581175,7.0875,133.245,53.298,0.172935,0.032886,0.0705915,1.7577,0.11340000000000001,0.099225,0.10120950000000001,0.8564535000000001,0.15535800000000002,0.019278000000000003,14.742,0.0,0.059535,7.371,0.0,0.0,0.0,18.0,BakedGoods,BakedGoods10
7,18012,"BISCUITS,PLN OR BTTRMLK,REFR DOUGH,LOWER FAT",0.0,3.886,15.08,1.2353999999999998,8.7,232.0,92.22,0.2262,0.04582,0.17457999999999999,10.961999999999998,0.05800000000000001,0.25984,0.12875999999999999,1.9110999999999998,0.21286000000000002,0.013920000000000002,49.3,2.03,0.0,0.0,0.0348,0.0,1.1019999999999999,18.0,BakedGoods,BakedGoods7
8,18013,"BISCUITS,PLN OR BTTRMLK,REFR DOUGH,LOWER FAT,BKD",0.0,2.2113,5.3865,0.876015,4.819500000000001,131.8275,52.4475,0.13041,0.026082,0.099225,5.0463000000000005,0.0,0.11821949999999999,0.065772,0.9775079999999999,0.0785295,0.0082215,23.530500000000004,1.16235,0.0,0.0,0.019845000000000005,0.0,0.6237000000000001,18.0,BakedGoods,BakedGoods10
9,18014,"BISCUIT, PLN OR BUTMLK, REFRI DOUGH, HIGHER FAT",0.0,3.8628000000000005,29.58,1.4384000000000001,9.86,272.6,93.96,0.29,0.052199999999999996,0.25404,4.64,0.05800000000000001,0.22678,0.16820000000000002,1.9186399999999997,0.20067999999999997,0.036539999999999996,33.06,0.0,0.029000000000000005,1.16,0.40019999999999994,0.0,3.596,18.0,BakedGoods,BakedGoods7
10,18015,"BISCUITS,PLN OR BTTRMLK,REFR DOUGH,HIGHER FAT,BKD",37.0,3.4629000000000003,13.77,1.3107,9.18,227.46,77.52,0.2091,0.04385999999999999,0.24989999999999998,6.936,0.0,0.22797,0.15249,1.87884,0.19482,0.02346,32.13,10.098,0.0,0.0,0.3417,0.0,4.845,18.0,BakedGoods,BakedGoods7
11,18016,"BISCUITS,PLN OR BTTRMLK,PREP FROM RECIPE",0.0,1.9845000000000002,66.6225,0.82215,5.103,46.49400000000001,34.30350000000001,0.15309,0.023247000000000004,0.10716300000000001,5.528250000000001,0.05670000000000001,0.10092600000000002,0.087885,0.8360415,0.0807975,0.009922500000000002,17.2935,0.0,0.022680000000000002,0.0,0.0,0.0,0.0,18.0,BakedGoods,BakedGoods0
12,18017,"BISCUITS,MXD GRAIN,REFR DOUGH",0.0,1.72935,4.819500000000001,0.779625,8.505,66.906,129.276,0.17010000000000003,0.0326025,0.18682650000000003,0.0,0.0,0.11056500000000001,0.059535,0.9639,0.0893025,0.0184275,23.530500000000004,0.0,0.0,0.0,0.0,0.0,0.0,18.0,BakedGoods,BakedGoods0
13,18019,"BREAD,BANANA,PREP FROM RECIPE,MADE W/MARGARINE",0.0,1.21905,5.9535,0.3969,3.9690000000000003,16.443,37.989000000000004,0.099225,0.020412,0.059251500000000006,3.4303500000000002,0.48195,0.048762,0.05670000000000001,0.40994100000000006,0.07597800000000002,0.04252500000000001,9.355500000000001,0.0,0.028350000000000004,30.051000000000002,0.0,0.0,0.0,18.0,BakedGoods,BakedGoods8
14,18021,"BREAD,BOSTON BROWN,CANNED",0.0,1.4742000000000002,19.845,0.59535,17.860500000000002,31.752000000000002,90.153,0.14175000000000001,0.022680000000000002,0.28917000000000004,6.2086500000000004,0.0,0.003969,0.0326025,0.3175200000000001,0.160461,0.023247000000000004,3.1185,6.66225,0.0028350000000000003,7.0875,0.09072000000000001,0.0,0.70875,18.0,BakedGoods,BakedGoods0
15,18022,"BREAD,CORNBREAD,DRY MIX,ENR (INCL CORN MUFFIN MIX)",0.0,1.9845000000000002,16.1595,0.70875,6.804000000000001,138.63150000000002,32.0355,0.161595,0.024097500000000004,0.0893025,1.5876,0.028350000000000004,0.12105450000000001,0.07711200000000001,0.9474570000000001,0.13608,0.03628800000000001,26.3655,2.01285,0.025515,5.3865,0.045360000000000004,0.0,1.4175,18.0,BakedGoods,BakedGoods10
16,18023,"BREAD,CORNBREAD,DRY MIX,PREP W/ 2% MILK,80% MARGARINE,& EGGS",49.0,3.3608999999999996,68.85,0.9435000000000001,8.67,199.41,67.83,0.3417,0.03723,0.11322000000000002,4.437,0.051000000000000004,0.0969,0.08925,1.0220399999999998,0.29528999999999994,0.04335,28.05,29.937,0.1173,17.85,0.2601,0.0,1.8870000000000002,18.0,BakedGoods,BakedGoods7
17,18024,"BREAD,CORNBREAD,PREP FROM RECIPE,MADE W/LOFAT (2%) MILK",0.0,1.8994500000000003,70.59150000000001,0.70875,7.0875,47.911500000000004,41.674499999999995,0.17010000000000003,0.0144585,0.033453,2.8633499999999996,0.08505000000000001,0.0824985,0.08334899999999999,0.639009,0.09610650000000001,0.0320355,21.829500000000003,0.0,0.04252500000000001,0.0,0.0,0.0,0.0,18.0,BakedGoods,BakedGoods0
